v2_headline,period_start,price_direction
altcoins potential next ethereum bitcoin,2017-07-03,up
bitcoin fan held sign testimony receives effort,2017-07-10,down
bitcoin fan holds sign receives donations effort,2017-10-30,down
bitcoin mining usb devices large usb,2017-10-30,down
word blockchain made bitcoin illustration,2017-10-30,down
bitcoin richard branson,2017-11-06,up
golden bitcoin coin laptop stock market trading concept,2017-11-06,up
study finds millennials ditching stocks,2017-11-06,up
bitcoin,2017-11-06,up
wall street ready bitcoin futures,2017-11-13,up
high prices reach typical bitcoin investor sells,2017-11-13,up
oversupply bitcoin burst bubble one analyst says yes,2017-11-27,up
hand mobile smart phone bitcoin symbol,2017-11-27,up
crypto currency news,2017-11-27,up
sir jon cunliffe bitcoin threat worldwide economy,2017-11-27,up
bitcoin made us olympic winklevoss twins billionaires,2017-12-04,up
numbers turning golden bitcoin blockchain illustration,2017-12-04,up
bitcoin coin money,2017-12-04,up
south africa allows traffic fines paid bitcoin,2017-12-04,up
golden bitcoin coin us dollars close high resolution,2017-12-04,up
bitcoin russia flag,2017-12-04,up
bitcoin mining operations cause blackouts,2017-12-11,up
golden bitcoin coin us,2017-12-11,up
historic price bitcoin,2017-12-25,down
bitcoin akin causing egypt ban,2018-01-01,up
bitcoin rally day,2018-01-08,down
kfc canada accepting bitcoin payment,2018-01-08,down
standing top bitcoin,2018-01-08,down
golden bitcoin dollar conceptual image crypto,2018-01-15,down
bitcoin fell mark,2018-01-15,down
stack bitcoin coins indian situation bitcoin,2018-01-15,down
bitcoin gold investors consider current market,2018-01-15,down
know rapper cent made millions,2018-01-22,up
beware bitcoin atms,2018-01-22,up
man held gunpoint forced transfer bitcoin,2018-01-29,down
golden bitcoin coin hard fork fire lightning water,2018-01-29,down
shipping giant create locker banks,2018-01-29,down
bounce,2018-02-05,up
living expectations,2018-02-05,up
introduction digital cash btc,2018-02-05,up
crypto currency news,2018-02-05,up
undisputed heavyweight champ,2018-02-05,up
cheapest places,2018-02-12,up
bitcoin get started,2018-02-19,up
crypto currency news,2018-02-26,down
bitcoin feature,2018-02-26,down
bitcoin price watch surpasses upside confirmed,2018-03-05,down
bitcoin bit coin btc cryptocurrency money burning flames fire sparkles,2018-03-05,down
downside potential greater upside trend,2018-03-05,down
bitcoin price ended last week red,2018-03-12,down
places bullish bet bitcoin price success doubtful,2018-03-12,down
could hit analysts say,2018-03-12,down
bitcoin facts got,2018-03-12,down
bitcoin worth end year,2018-03-26,down
wall street says hodl abra ceo says boom,2018-03-26,down
ccn offers breaking crypto prices,2018-03-26,down
crashed first quarter,2018-04-02,up
could plunge another,2018-04-02,up
bitcoin included aml regulations,2018-04-02,up
drops keep updated,2018-04-02,up
price fumbling see,2018-04-02,up
analysts calling,2018-04-02,up
bitcoin wallet supporting lightning network,2018-04-09,up
