Exchange Id,Website,Name,Data Start,Data End,Data Quote Start,Data Quote End,Data Symbols Count,Volume 1hrs Usd,Volume 1day Usd,Volume 1mth Usd,Data Orderbook Start,Data Orderbook End,Data Trade Start,Data Trade End
ECB,https://www.ecb.europa.eu/,European Central Bank,2020-08-31,2021-05-20,2020-08-31T00:00:00.0000000Z,2021-05-20T17:30:00.9400000Z,32,0,0,0,,,,
BINANCE,https://www.binance.com/,Binance,2017-07-14,2021-05-20,2017-12-18T21:50:58.3910192Z,2021-05-20T17:42:55.1570000Z,1442,2773870017,83002570915,1275441904178,2017-12-18T21:50:58.3910192Z,2020-08-05T14:37:58.9010000Z,2017-07-14T04:00:00.3760000Z,2021-05-20T17:30:04.0966667Z
KRAKEN,https://www.kraken.com/,Kraken,2013-10-22,2021-05-20,2014-07-31T13:05:46.0000000Z,2021-05-20T17:42:46.6043345Z,443,169533972.6,5451223263,83398755226,2014-07-31T13:05:46.0000000Z,2020-08-05T14:37:20.1277711Z,2013-10-22T23:09:46.8630000Z,2021-05-20T17:30:04.0966667Z
COINBASE,https://pro.coinbase.com/,Coinbase Pro (GDAX),2015-01-14,2021-05-20,2015-05-17T00:51:32.6370000Z,2021-05-20T17:44:02.7893580Z,207,459080044.3,13704009882,181863762491,2015-05-17T00:51:32.6370000Z,2020-08-05T14:37:54.1606790Z,2015-01-14T16:07:05.0000000Z,2021-05-20T17:30:04.0966667Z
BITSTAMP,https://www.bitstamp.net/,Bitstamp Ltd.,2011-09-13,2021-05-20,2014-02-24T17:43:05.0000000Z,2021-05-20T17:42:37.1938057Z,75,55329086.98,2387651232,32809787253,2014-02-24T17:43:05.0000000Z,2020-08-05T14:37:55.5632395Z,2011-09-13T13:53:36.0000000Z,2021-05-20T17:30:04.0966667Z
GEMINI,https://gemini.com/,Gemini,2015-10-08,2021-05-20,2017-03-18T22:53:42.0948480Z,2021-05-20T17:44:50.1834791Z,60,36724786.39,1001840302,9315685839,2017-03-18T22:53:42.0948480Z,2020-08-05T14:37:10.5480000Z,2015-10-08T13:40:07.8010000Z,2021-05-20T17:30:04.0966667Z
LMAXDIGITAL,https://www.lmaxdigital.com/,LMAX Digital,2021-04-12,2021-05-20,2021-04-12T23:46:45.6180000Z,2021-05-20T17:41:51.4030000Z,16,57314312.15,2188248925,28657252789,2017-03-18T22:53:42.0948480Z,2020-08-05T14:37:10.5480000Z,2021-04-12T23:46:46.9870000Z,2021-05-20T17:30:04.0966667Z
OKCOINCNY,https://www.okcoin.cn/,OKCoin CNY,2013-06-12,2018-03-09,2015-02-15T12:53:50.3430000Z,2018-03-09T23:34:52.5800000Z,2,0,0,0,2015-02-15T12:53:50.3430000Z,2018-03-09T23:34:52.5800000Z,2013-06-12T14:24:24.0000000Z,2017-11-01T16:30:39.7077259Z
HUOBI,https://www.huobi.us/,Huobi (HBUS),2015-03-29,2020-03-30,2015-03-29T21:46:06.2630000Z,2020-03-30T08:40:10.1306733Z,777,0,0,0,2015-03-29T21:46:06.2630000Z,2020-03-30T08:40:10.1306733Z,2015-03-29T21:46:08.7030000Z,2019-12-16T00:23:43.4240000Z
BITTREX,https://bittrex.com/,Bittrex,2017-01-26,2021-05-20,2017-03-14T20:03:47.4782440Z,2021-05-20T17:42:56.2521869Z,1294,19924236.59,782214560.8,480721515681,2017-03-14T20:03:47.4782440Z,2020-08-05T14:37:03.9320257Z,2017-01-26T19:48:55.0000000Z,2021-05-20T17:30:04.0966667Z
POLONIEX,https://poloniex.com/,POLONIEX,2016-05-29,2021-05-20,2016-06-12T11:53:38.1523879Z,2021-05-20T17:42:55.7002810Z,504,50778767.27,2772978043,29229845459,2016-06-12T11:53:38.1523879Z,2020-08-05T14:37:20.4403838Z,2016-05-29T15:05:08.0000000Z,2021-05-20T17:30:04.0966667Z
BITFINEX,https://www.bitfinex.com/,Bitfinex,2013-01-14,2021-05-20,2014-02-24T17:43:05.0000000Z,2021-05-20T17:42:54.4853265Z,615,257076725.3,6992213783,105118581495,2014-02-24T17:43:05.0000000Z,2020-08-05T14:37:01.4705388Z,2013-01-14T16:47:23.0000000Z,2021-05-20T17:30:04.0966667Z
HUOBIPRO,https://www.hbg.com/,Huobi Global,2018-01-22,2021-05-20,2018-01-24T00:22:17.2456560Z,2021-05-20T17:42:55.8422587Z,1000,1252679485,30441234919,1297651016623,2018-01-24T00:22:17.2456560Z,2020-08-05T14:37:56.8725360Z,2018-01-22T12:55:12.5650000Z,2021-05-20T17:30:04.0966667Z
