Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2021-05-17T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-17T00:00:00.4170000Z,2021-05-20T19:26:00.9835440Z,296.19,318.49,125,211.55,7116297.43,1414318
2021-05-10T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-10T00:00:00.5817670Z,2021-05-16T23:59:59.9497670Z,388.13,414.07,279.15,296.11,8343657.028,2191022
2021-05-03T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-03T00:00:00.8712850Z,2021-05-09T23:59:59.9995420Z,269.1,389.83,268.64,388.3,9357045.606,2314644
2021-04-26T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-04-26T00:00:00.6632370Z,2021-05-02T23:59:59.0303550Z,224.25,278.75,221.25,269.1,4087442.128,920245
2021-04-19T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-19T00:00:00.0695620Z,2021-04-25T23:59:55.7200000Z,274.13,289.84,204.5,224.13,7739379.384,1479412
2021-04-12T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-12T00:00:00.0077230Z,2021-04-18T23:59:59.7235520Z,252.31,335.79,230.97,274.2,8836326.542,1722499
2021-04-05T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-05T00:00:07.2458550Z,2021-04-11T23:59:58.1940000Z,202.26,263.26,198.05,252.25,5571957.252,991551
2021-03-29T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-03-29T00:00:00.4425910Z,2021-04-04T23:59:59.9408580Z,184.24,217.88,182.28,202.26,2963182.674,589635
2021-03-22T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-22T00:00:03.5653190Z,2021-03-28T23:59:59.8946570Z,195.62,199.17,167.67,184.27,2575778.36,519783
2021-03-15T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-15T00:00:00.3672380Z,2021-03-21T23:59:57.9985570Z,214.02,222.44,191.16,195.53,3051070.547,609344
